Fecha;Año;Ciudad;Nombre;Apellido;Género;Producto
2020-01-01;2020;Medellin;Visitación;Folch;Femenino;Variado
2020-01-01;2020;Medellin;Olga;Coloma;Femenino;Bandeja fresas
2020-01-01;2020;La Estrella;Fanny;Ferrero;Femenino;Variado
2020-01-01;2020;Itagui;Gabino;Alegre;Masculino;Liviano
2020-01-01;2020;Copacabana;Nereida;Dalmau;Femenino;Bizcopizza
2020-01-01;2020;San Antonio de Prado;Marta;Arana;Femenino;Liviano
2020-01-01;2020;Itagui;Eva;Salazar;Femenino;Variado
2020-01-01;2020;Medellin;Magdalena;Angulo;Femenino;Sánduche
2020-01-01;2020;San Antonio de Prado;Reynaldo;Ayuso;Masculino;Sánduche
2020-01-01;2020;Medellin;Maristela;Montero;Femenino;Bizcopizza
2020-01-01;2020;Sabaneta;Ale;Bas;Femenino;Bizcopizza
2020-01-01;2020;Caldas;Baudelio;Cobo;Masculino;Variado
2020-01-01;2020;Envigado;María Dolores;Vila;Femenino;Variado
2020-01-01;2020;Bello;Moisés;Gámez;Masculino;Fuerte
2020-01-01;2020;La Estrella;Adalberto;Huguet;Masculino;Liviano
2020-01-01;2020;Sabaneta;Sonia;Torrens;Femenino;Completo
2020-01-31;2020;Itagui;Teo;Cerezo;Masculino;Sánduche
2020-01-31;2020;Medellin;Sebastián;Colomer;Masculino;Sánduche
2020-01-31;2020;Medellin;Dorita;Donoso;Femenino;V gomas
2020-01-31;2020;Sabaneta;Maxi;Perelló;Femenino;Bizcopizza
2020-01-31;2020;La Estrella;Mariana;Rivero;Femenino;Liviano
2020-01-31;2020;Itagui;Jose Manuel;Silva;Masculino;Waffle
2020-01-31;2020;Itagui;Pili;Alcolea;Femenino;Sánduche
2020-01-31;2020;Medellin;Isaura;Martin;Femenino;Virtuosa
2020-01-31;2020;San Antonio de Prado;Pancho;Ibarra;Masculino;Sánduche
2020-01-31;2020;Medellin;Alejandro;Ruiz;Masculino;Sánduche
2020-01-31;2020;Envigado;Domingo;Figueroa;Masculino;Completo
2020-01-31;2020;Itagui;Fito;Sola;Masculino;Bizcopizza
2020-01-31;2020;Sabaneta;Benita;Alsina;Femenino;Virtuosa
2020-01-31;2020;La Estrella;Clara;Lastra;Femenino;Sánduche
2020-01-31;2020;Bello;Felisa;Cañas;Femenino;Cupcakes
2020-01-31;2020;Envigado;Merche;Lledó;Femenino;Bandeja fresas
2020-01-31;2020;Caldas;Corona;Tomás;Femenino;V fresas
2020-01-31;2020;Sabaneta;Carlota;Rojas;Femenino;Sánduche
2020-01-31;2020;Itagui;Herminio;Nadal;Masculino;Fuerte
2020-01-31;2020;Bello;Manola;Cervera;Femenino;Sánduche
2020-01-31;2020;Bello;Matilde;Vallejo;Femenino;Waffle
2020-01-31;2020;Bello;Modesto;Nicolau;Masculino;Sánduche
2020-01-31;2020;Medellin;María Pilar;Boix;Femenino;Sánduche
2020-01-31;2020;San Antonio de Prado;Nicolasa;Comas;Femenino;Sánduche
2020-01-31;2020;Medellin;Artemio;Cervantes;Masculino;Mini gomas
2020-01-31;2020;Bello;Reinaldo;Múgica;Masculino;Variado
2020-01-31;2020;Medellin;Gabriela;Lago;Femenino;Liviano
2020-01-31;2020;La Estrella;Bárbara;Hervia;Femenino;Waffle
2020-01-31;2020;Medellin;Aránzazu;Villalobos;Femenino;Sánduche
2020-01-31;2020;Envigado;Patricia;Moraleda;Femenino;Bizcopizza
2020-01-31;2020;Sabaneta;Carmina;Suárez;Femenino;Completo
2020-01-31;2020;Medellin;Eusebia;Cabeza;Femenino;Completo
2020-01-31;2020;Medellin;Albino;Guitart;Masculino;Sánduche
2020-03-01;2020;San Antonio de Prado;Jose Antonio;Quevedo;Masculino;Variado
2020-03-01;2020;Bello;Ligia;España;Femenino;Choco candy
2020-03-01;2020;Copacabana;Marcela;Sacristán;Femenino;Waffle
2020-03-01;2020;Bello;Almudena;Valderrama;Femenino;Bandeja frutas
2020-03-01;2020;Medellin;Gabriela;Araujo;Femenino;V gomas
2020-03-01;2020;San Antonio de Prado;Sarita;Ferrándiz;Femenino;Mini gomas
